zipcode,Average household size,Population 25 years and over,Population 25 years and over - Less than 9th grade,"Population 25 years and over - 9th to 12th grade, no diploma",Population 25 years and over - High school graduate,"Population 25 years and over - Some college, no degree",Population 25 years and over - Associate's degree,Population 25 years and over - Bachelor's degree,Population 25 years and over - Graduate or professional degree
15003,2.26,8185,214,514,3259,1730,832,1169,467
15005,2.34,7343,81,348,2710,1324,534,1517,829
15006,3,214,0,0,74,20,49,49,22
15007,2.08,238,0,0,118,0,13,101,6
15012,2.42,11364,139,525,4763,1824,1449,1481,1183
15014,2.17,2205,27,142,918,486,234,216,182
15015,2.47,920,0,21,93,104,75,390,237
15017,2.19,12246,229,477,3808,1874,899,3318,1641
15018,2.56,616,0,32,401,48,40,33,62
15020,2.02,220,5,0,112,11,48,33,11
15024,2.24,6696,115,315,2191,1257,886,1301,631
15025,2.41,11455,218,382,3978,1861,1332,2397,1287
15026,2.63,2494,25,128,1013,563,427,224,114
15028,2.41,117,2,9,60,25,4,6,11
15030,1.95,816,22,51,291,172,101,138,41
15031,2.23,426,9,87,164,112,9,0,45
15034,1.98,1426,25,53,657,305,118,219,49
15035,2.16,1515,33,36,672,344,212,120,98
15037,2.38,8219,145,311,3062,1727,1108,1314,552
15044,2.66,19244,227,370,4286,2332,1787,6052,4190
15045,2.29,3225,126,207,1401,672,327,401,91
15046,2.62,1877,20,95,631,344,218,380,189
15047,2.28,65,0,0,0,17,29,19,0
15049,1.86,712,26,36,285,153,76,108,28
15051,1.92,308,11,33,81,41,22,73,47
15056,2.22,864,10,72,243,188,68,190,93
15063,2.39,8330,181,495,3456,1297,914,1196,791
15065,2.37,8458,94,408,3364,1578,946,1425,643
15068,2.31,28012,722,1729,10752,4644,3079,4714,2372
15071,2.34,7763,60,339,2189,1370,916,1973,916
15075,2.75,173,0,0,115,20,0,38,0
15076,2.14,722,23,159,186,135,111,95,13
15082,2.26,113,0,0,65,30,0,0,18
15083,2.24,610,21,42,293,156,53,30,15
15084,2.21,7164,84,421,3256,1182,849,1045,327
15085,2.34,5707,35,203,2152,865,587,1196,669
15088,2.6,348,2,34,176,71,36,25,4
15089,2.25,4598,66,260,1916,928,512,625,291
15090,2.67,16454,77,123,1832,1744,1280,6183,5215
15101,2.48,17670,283,439,4064,2455,1440,5217,3772
15102,2.41,21817,300,638,5577,3279,1991,6619,3413
15104,2.21,6015,277,493,2699,1218,721,411,196
15106,2.15,14418,139,548,5290,2620,1480,2995,1346
15108,2.35,29394,883,1158,7313,4422,2721,8420,4477
15110,2.42,3289,117,234,1600,662,261,253,162
15112,2.11,2216,46,132,923,391,249,360,115
15116,2.35,11245,114,352,3326,1673,959,2710,2111
15120,2.24,13422,177,815,5039,2448,1678,2088,1177
15122,2.27,14656,296,625,5655,3051,1887,2296,846
15126,2.45,5189,63,395,1304,850,541,1449,587
15129,2.37,7689,59,146,2247,1221,1175,1813,1028
15131,2.12,6427,64,261,2526,1171,688,1186,531
15132,2.11,15174,522,1478,6934,2889,1468,1247,636
15133,2.16,4847,74,267,2017,1241,574,495,179
15135,2.39,3885,0,143,1560,742,565,533,342
15136,2.33,15633,262,1189,6044,2552,1366,2847,1373
15137,2.2,7460,55,407,3532,1240,945,829,452
15139,2,5062,84,210,1156,793,376,1326,1117
15140,2.17,2234,22,178,885,506,230,267,146
15142,2.39,960,0,13,173,63,54,402,255
15143,2.47,14229,251,243,2585,1700,821,4538,4091
15144,2.12,3202,21,168,1387,603,371,432,220
15145,2.14,5039,51,207,2024,1111,565,599,482
15146,2.21,21406,428,615,5906,3878,2297,5102,3180
15147,2.14,13335,385,752,4368,2436,1540,2461,1393
15148,2.11,1820,68,109,853,409,184,150,47
15201,2.08,10026,174,571,2204,1713,680,2812,1872
15202,1.96,14925,167,672,4068,2756,1687,3627,1948
15203,1.97,6661,75,287,1598,788,420,1924,1569
15204,2.4,5813,118,428,2201,1142,712,792,420
15205,2.18,16465,435,627,5229,2941,1541,4166,1526
15206,2.06,20482,424,1051,4928,3136,1429,4443,5071
15207,2.44,9030,94,580,3512,1658,912,1481,793
15208,2.26,6985,125,508,1476,1233,616,1326,1701
15209,2.21,9381,104,534,3252,1922,1010,1591,968
15210,2.42,17855,611,1528,7607,3385,1860,1925,939
15211,1.98,8320,99,358,2232,1373,790,2299,1169
15212,2.03,19194,627,1376,6437,3181,1605,3699,2269
15213,1.93,8308,256,323,1177,1030,358,2299,2865
15214,2.27,9899,129,727,3617,1725,964,1696,1041
15215,2.27,9036,163,419,2034,1281,643,2148,2348
15216,2.19,16845,395,603,4066,2977,1510,4638,2656
15217,2.25,19420,159,371,2223,1846,875,5378,8568
15218,2.03,10541,151,268,2540,1534,1022,2332,2694
15219,1.93,8715,312,918,3203,1969,732,851,730
15220,2.18,13424,230,496,3438,1810,1254,3564,2632
15221,1.99,22950,446,1164,6461,4383,2112,4809,3575
15222,1.45,2720,10,28,266,331,165,751,1169
15223,2.19,5230,87,232,1884,988,733,957,349
15224,1.95,8337,183,345,2352,1320,579,2061,1497
15225,1.92,902,25,64,394,127,144,109,39
15226,2.24,10112,217,628,3431,1734,1030,2012,1060
15227,2.34,20840,794,1188,7111,3530,2679,3870,1668
15228,2.45,12680,156,96,1316,1376,814,4389,4533
15229,2.23,10226,156,402,3041,1403,1376,2603,1245
15232,1.76,8538,90,108,641,486,221,3132,3860
15233,1.91,3633,160,294,1481,748,261,488,201
15234,2.14,10471,256,366,3502,1895,934,2499,1019
15235,2.3,25176,340,892,6937,5855,2670,5046,3436
15236,2.36,22266,413,539,7478,3879,2449,4725,2783
15237,2.29,31845,545,946,6463,4949,2406,9436,7100
15238,2.44,9670,167,209,1496,1175,611,2364,3648
15239,2.51,15179,183,549,4734,2669,1894,3443,1707
15241,2.69,14164,107,111,1768,1633,933,5058,4554
15243,2.22,10052,119,236,1965,1177,676,3216,2663
15321,2.36,1129,0,39,383,236,92,217,162
15332,2.23,6319,53,279,2912,899,701,1045,430
15642,2.46,32760,232,1125,10668,5614,3900,7582,3639
15668,2.42,9886,28,245,1938,1612,814,2852,2397
16046,2.62,10657,35,225,1850,1118,724,4112,2593
16056,2.16,3516,90,122,1434,591,451,553,275
16059,2.45,5876,42,148,1941,1050,362,1404,929
16066,2.71,20135,170,476,3652,2815,1553,7280,4189
16229,2.36,3612,55,147,1411,718,473,592,216